inchikey,kegg_id,kegg_drug_id
InChIKey=CUJMXIQZWPZMNQ-XYYGWQPLSA-N,C04671,
InChIKey=YZBZORUZOSCZRN-DCUPSMFCSA-N,C04672,
InChIKey=MMPAYJAQJWVMJV-URDJKYRMSA-N,C04673,
InChIKey=CRPMVGCTWVCEFA-STDISIGGSA-N,C04674,
InChIKey=ATTJZXQHBIJXLV-AWVQIHIZSA-N,C04675,
InChIKey=CNIXJDVUMXTEKX-DZBHQSCQSA-N,C04676,
InChIKey=NOTGFIUVDGNKRI-UUOKFMHZSA-N,C04677,
InChIKey=BJAFYRSZBSGAET-QQFUYBAXSA-N,C04678,
InChIKey=PQNMYMXNEUQFAJ-UHFFFAOYSA-N,C04684,
InChIKey=BGKHCLZFGPIKKU-BGEXMHJYSA-N,C04685,
InChIKey=PUIBPGHAXSCVRF-QHFGJBOXSA-N,C04686,
InChIKey=PTPROPUVXIZJPL-HCWXCVPCSA-N,C04687,
InChIKey=BHXUWJPOOLFBAP-DJWKRKHSSA-N,C04690,
InChIKey=PJWIPEXIFFQAQZ-PUFIMZNGSA-N,C04691,
InChIKey=ZBIDXXVRKIWIKP-DULXVFQLSA-N,C04695,
InChIKey=ZUPSABSQBFCIOU-IBVRSMRASA-N,C04698,
InChIKey=RLNOPSGEZLGFAH-OCMBHFTRSA-N,C04700,
InChIKey=PFMVORMCVGOQKR-XNCOKRRHSA-N,C04702,
InChIKey=VFHNNRXYOUPLDR-XIBIAKPJSA-N,C04703,
InChIKey=ADSGHWJRPOXXTD-NSCUHMNNSA-N,C04706,
InChIKey=YRTJDWROBKPZNV-KMXMBPPJSA-N,C04707,
InChIKey=GAODGIPKEKRVEC-MLIDHZNVSA-N,C04709,
InChIKey=PNRXZPUOVXRYEX-UHFFFAOYSA-N,C04711,
InChIKey=UKRMDFPJXIVYCZ-BXUZGUMPSA-N,C04712,
InChIKey=DUISZFLWBAPRBR-SDBHATRESA-N,C04713,
InChIKey=NELZMZLNTYWIPD-MLBSDYKWSA-N,C04715,
InChIKey=JDSRHVWSAMTSSN-IRQZEAMPSA-N,C04717,
InChIKey=KAUZXNDCPVMFCH-UHFFFAOYSA-N,C04718,
InChIKey=LPUCQUKLBVSNAF-UJXPUUNTSA-N,C04719,
InChIKey=GDNZNIJPBQATCZ-UHFFFAOYSA-N,C04720,
InChIKey=WVULKSPCQVQLCU-ZGFCPQMKSA-N,C04721,
InChIKey=CNWPIIOQKZNXBB-SQZFNYHNSA-N,C04722,
InChIKey=PWFHKWYTYWTQSK-VQWRVLIDSA-N,C04724,
InChIKey=ADSGHWJRPOXXTD-IHWYPQMZSA-N,C04729,
InChIKey=FZVSMNOAJGWONA-UHFFFAOYSA-N,C04731,
InChIKey=XKQZIXVJVUPORE-RPDRRWSUSA-N,C04732,
InChIKey=LLVVMXFNKAHVEZ-JDRPKTLISA-N,C04733,
InChIKey=ABCOOORLYAOBOZ-KQYNXXCUSA-N,C04734,
InChIKey=TZSJGZGYQDNRRX-MPLCHSTDSA-N,C04738,
InChIKey=PQKQKKAIMXCPIL-ABYJQTRASA-N,C04739,
InChIKey=GMVPRGQOIOIIMI-DWKJAMRDSA-N,C04741,D00180
InChIKey=JSFATNQSLKRBCI-VAEKSGALSA-N,C04742,D08931
InChIKey=CGWDNAFNQOBSCK-UHFFFAOYSA-N,C04744,
InChIKey=FXBZYWGMTFSORP-QPCSTCLVSA-N,C04746,
InChIKey=XFVULMDJZXYMSG-ZIYNGMLESA-N,C04751,
InChIKey=AGQJQCFEPUVXNK-UHFFFAOYSA-N,C04752,
InChIKey=XEQAHADLFLAPQL-RBIQQSKKSA-N,C04758,
InChIKey=MNYDLIUNNOCPHG-LLKMTTQRSA-N,C04760,
InChIKey=RUBKAAVMXLSLAZ-UVTYLADFSA-N,C04767,
InChIKey=WZNJWVWKTVETCG-YFKPBYRVSA-N,C04771,
InChIKey=VJZTVPVXKYQRJZ-UHFFFAOYSA-N,C04773,
InChIKey=ZMRGXEJKZPRBPJ-SYQHCUMBSA-N,C04778,
InChIKey=BZXZFDKIRZBJEP-JMTMCXQRSA-N,C04780,
InChIKey=MFSRJRFDIILHFC-OLQVQODUSA-N,C04783,
InChIKey=UYQGVDXDXBAABN-FQSPHKRJSA-N,C04785,
InChIKey=YBNGEAZRGBGUSJ-MWHWZGIKSA-N,C04787,
InChIKey=YUHVBHDSVLKFNI-NJSLBKSFSA-N,C04793,
InChIKey=DLGJWSVWTWEWBJ-UCFDOFRFSA-N,C04794,
InChIKey=FNEGJFDTWWXQES-QTWONPPNSA-N,C17758,
InChIKey=OAPFPZKGGMKELA-WEBQFGJISA-N,C04797,
InChIKey=NGWWIKMKDDRAOU-UHFFFAOYSA-N,C04798,
InChIKey=GTTWNLXGSDZECO-HOZNVNQUSA-N,C04804,
InChIKey=KGIJOOYOSFUGPC-JGKLHWIESA-N,C04805,
InChIKey=BHYDXVJSMVVTCR-NQRZIZCBSA-N,C04806,
InChIKey=FCQGJGLSOWZZON-UHFFFAOYSA-N,C04807,
InChIKey=PTVYOHQZLXNCIG-IXAGMXAFSA-N,C04808,
InChIKey=VDSCQGGPSPZSLA-JJNLEZRASA-N,C04811,
InChIKey=RCHWKUFHKPKXKQ-UZAAGFTCSA-N,C04812,
InChIKey=DWEXIFLNCXYYAA-IIEBKBIYSA-N,C04814,
InChIKey=JJEJEUFVVGEVHG-INEUFUBQSA-N,C04815,
InChIKey=UVSCRUWDVRYDQM-JZRPQBGFSA-N,C04819,
InChIKey=QQUFCXFFOZDXLA-GTYUHVKWSA-N,C04822,
InChIKey=NAQGHJTUZRHGAC-ZZZDFHIKSA-N,C04823,
InChIKey=HEHQDWUWJVPREQ-XQJZMFRCSA-N,C04824,
InChIKey=UUCCUHBMBRNBLG-RDRPKIEGSA-N,C04830,
InChIKey=WTGXAWKVZMQEDA-XGHDNVSXSA-N,C04831,
InChIKey=OBGQLHXSMIBYLN-PWSUYJOCSA-N,C04832,
InChIKey=CZRJNVJQSPMQTQ-XKLQKUTNSA-N,C04834,
InChIKey=YCLHGWBUIYKBPM-NBFHXWIWSA-N,C04835,
InChIKey=OGFGYTRGDDWUKC-VFAVGCSDSA-N,C04839,
InChIKey=UQFZKTIHSICSPG-DSHYQQBWSA-N,C04840,
InChIKey=WPLPEZUSILBTGP-UIKNIFMXSA-N,C04843,
InChIKey=HRJXKKSJPNWKCP-UNXDAHLPSA-N,C04844,
InChIKey=NNISLDGFPWIBDF-LQHNAXJESA-N,C04847,
InChIKey=SGTUOBURCVMACZ-NSIHWEAISA-N,C04849,
InChIKey=SULOOAFLXMQJSF-OGDYFQGPSA-N,C04851,
InChIKey=PTJFJXLGRSTECQ-PSPARDEHSA-N,C04853,
InChIKey=IDBZKGQRLBFUFQ-VPHRTNKSSA-N,C04856,
InChIKey=NTDLXWMIWOECHG-YRCFQSNFSA-N,C04858,
InChIKey=QJEQHVALLZCTGC-HPNIRRCESA-N,C04859,
InChIKey=NXPDEZAEUSDDQF-SHOVVSDRSA-N,C04861,
InChIKey=QPCQVOLQSLKQHW-FAIXQHPJSA-O,C04862,
InChIKey=BWBRFVRXCBBDEH-ZTVLJYEESA-N,C04864,
InChIKey=BUJZTFINDCQRGP-ZTVLJYEESA-N,C04865,
InChIKey=CPVQJXZBSGXTGJ-TZDLBHCHSA-N,C04867,
InChIKey=GOCUAJYOYBLQRH-UHFFFAOYSA-N,C04871,
InChIKey=WLWWVTPUDQTUJU-KDXMTYKHSA-O,C04873,
InChIKey=YQIFAMYNGGOTFB-XINAWCOVSA-N,C04874,
InChIKey=LGXDICLRWHYEIS-UHFFFAOYSA-N,C04875,
InChIKey=GGQSPFOOXYIGQQ-IEZVQVLWSA-N,C04876,
InChIKey=QUHLBZKCGUXHGP-YXVFMYSNSA-N,C04877,
InChIKey=CALMUTCFVFZDOC-BHUBDZAQSA-N,C04881,
InChIKey=IMWOXEZVYQDRDF-MCZXNMLPSA-N,C04882,
InChIKey=IXHBTMCLRNMKHZ-UHFFFAOYSA-N,C04883,
InChIKey=RPSBVJXBTXEJJG-LURNZOHQSA-N,C04886,
InChIKey=BJRIMGIVIIHCDH-LSTIIZKUSA-N,C04894,
InChIKey=DGGUVLXVLHAAGT-XINAWCOVSA-N,C04895,
InChIKey=QOUSHGMTBIIAHR-KEOHHSTQSA-N,C04896,
InChIKey=SZKXTJUOKARGIY-VPHRTNKSSA-N,C04899,
InChIKey=AEYXZGCDWDUIKX-OFFAAIFBSA-N,C04900,
InChIKey=BLHSZJFFDPSTHR-FZNRESIQSA-N,C04904,
InChIKey=GUWSQVZFXHIGLN-UHFFFAOYSA-M,C04905,
InChIKey=BLLOMHPIZIGHBI-UHFFFAOYSA-N,C04908,
InChIKey=BLKFNHOCHNCLII-GHVQHMAVSA-N,C04916,
InChIKey=KVJWZTLXIROHIL-QDORLFPLSA-N,C04919,
InChIKey=JMTBNWRTXSLTIC-IHGLRESESA-N,C04923,
InChIKey=KXNPVXPOPUZYGB-VSVYTNTFSA-N,C04931,
InChIKey=HLDJGHAAKRKPAV-QDORLFPLSA-N,C04932,
InChIKey=HXRNACQBNUPKDX-VRPWFDPXSA-N,C05001,
InChIKey=LKDRXBCSQODPBY-ZXXMMSQZSA-N,C05003,
InChIKey=MMFKFJORZBJVNF-UWVGGRQHSA-N,C05010,
InChIKey=TXUZVZSFRXZGTL-QPLCGJKRSA-N,C05011,D06551
InChIKey=SEWIYICDCVPBEW-BYPYZUCNSA-N,C05016,
InChIKey=OVRNDRQMDRJTHS-JAJWTYFOSA-N,C05021,
InChIKey=ICMSBKUUXMDWAQ-UHFFFAOYSA-N,C05026,
InChIKey=VIKNJXKGJWUCNN-XGXHKTLJSA-N,C05028,D00182
InChIKey=BCKDNMPYCIOBTA-RRKCRQDMSA-N,C05031,
InChIKey=IAJOBQBIJHVGMQ-UHFFFAOYSA-N,C05042,
InChIKey=ZAQJHHRNXZUBTE-UHFFFAOYSA-N,C05052,
InChIKey=CWLKGDAVCFYWJK-UHFFFAOYSA-N,C05058,
InChIKey=KQFIBEWFMDGKRQ-UHFFFAOYSA-N,C05060,
InChIKey=VJYIFXVZLXQVHO-UHFFFAOYSA-N,C05071,
InChIKey=WTIJXIZOODAMJT-DHFGXMAYSA-N,C05073,D02333
InChIKey=CABMTIJINOIHOD-UHFFFAOYSA-N,C05076,
InChIKey=MHWLWQUZZRMNGJ-UHFFFAOYSA-N,C05079,D00183
InChIKey=YJQPYGGHQPGBLI-KGSXXDOSSA-N,C05080,
InChIKey=PMATZTZNYRCHOR-IMVLJIQESA-N,C05086,D00184
InChIKey=PHENTZNALBMCQD-UHFFFAOYSA-N,C05100,
InChIKey=FOUJWBXBKVVHCJ-GXYLSVPFSA-N,C05103,
InChIKey=PKEPPDGGTSZLBL-WIMCOPAWSA-N,C05104,
InChIKey=RUSSPKPUXDSHNC-DDPQNLDTSA-N,C05107,
InChIKey=CHGIKSSZNBCNDW-HFPXORMNSA-N,C05108,
InChIKey=MBZYKEVPFYHDOH-BQNIITSRSA-N,C05109,
InChIKey=SCEZIHJVTBQOLS-GDNVEGMJSA-N,C05110,
InChIKey=LMYZQUNLYGJIHI-CEYCLBAKSA-N,C05111,
InChIKey=RKCAIXNGYQCCAL-CEVVSZFKSA-N,C05113,
InChIKey=QHHKKMYHDBRONY-RMNRSTNRSA-N,C05116,
InChIKey=CCSDHAPTHIKZLY-RMNRSTNRSA-N,C05117,
InChIKey=UFNCWFSSEGPJNL-UHFFFAOYSA-N,C05118,
InChIKey=KMUSXGCRMMQDBP-UHFFFAOYSA-N,C05119,
InChIKey=FZLMIZAHBFKTSH-IECFWMJSSA-N,C05122,
InChIKey=SUMDYPCJJOFFON-UHFFFAOYSA-N,C05123,
InChIKey=RRUVJGASJONMDY-UHFFFAOYSA-O,C05125,
InChIKey=WQEXBUQDXKPVHR-SNAWJCMRSA-N,C05126,
InChIKey=FHQDWPCFSJMNCT-UHFFFAOYSA-N,C05127,
InChIKey=MQSRGWNVEZRLDK-UHFFFAOYSA-N,C05130,
InChIKey=AHPWEWASPTZMEK-PEBGCTIMSA-N,C05131,
InChIKey=HSZJBFGOEAJYFT-UHFFFAOYSA-N,C05133,
InChIKey=XJWPISBUKWZALE-UHFFFAOYSA-N,C05135,
InChIKey=GRUFZTGABLSDFG-PHMHICHTSA-N,C05136,
InChIKey=JERGUCIJOXJXHF-BZXJGPHVSA-N,C05138,
InChIKey=QQIVKFZWLZJXJT-DNKQKWOHSA-N,C05139,
InChIKey=SSBCZTXGVMMZOT-NBBHSKLNSA-N,C05140,
InChIKey=PROQIPRRNZUXQM-ZXXIGWHRSA-N,C05141,D00185
InChIKey=NVLTYOJHPBMILU-YOVYLDAJSA-N,C05143,
InChIKey=QCHPKSFMDHPSNR-UHFFFAOYSA-N,C05145,
InChIKey=WJRBRSLFGCUECM-UHFFFAOYSA-N,C05146,
InChIKey=BJBUEDPLEOHJGE-IMJSIDKUSA-N,C05147,
InChIKey=REAZZDPREXHWNV-FNYQTHNFSA-N,C05148,
InChIKey=MJQUEDHRCUIRLF-YCVQJEHTSA-N,C05149,
InChIKey=PEYTUVXFLCCGCC-VCJXGGRGSA-N,C05150,
InChIKey=PHEDXBVPIONUQT-RGYGYFBISA-N,C05151,
InChIKey=CUCUKLJLRRAKFN-UHFFFAOYSA-N,C05153,
InChIKey=VPRVQIJXVCMMQE-JUEFVVJZSA-N,C05155,
InChIKey=GVRIYIMNJGULCZ-ZMKUSUEASA-N,C05158,
InChIKey=CEVCRLBFUJAKOG-UHFFFAOYSA-N,C05161,
InChIKey=DSCFFEYYQKSRSV-VQPJZGIOSA-N,C05163,
InChIKey=CNGNJOBQFRZLRY-TYHXJLICSA-N,C05165,
InChIKey=JRPHGDYSKGJTKZ-UHFFFAOYSA-N,C05172,
InChIKey=FVXCQULKSPVRPK-HNNXBMFYSA-N,C05174,
InChIKey=UXYJCYXWJGAKQY-HNNXBMFYSA-N,C05175,
InChIKey=BOKVLBSSPUTWLV-INIZCTEOSA-N,C05176,
InChIKey=FDABVSXGAMFQQH-XZWHSSHBSA-N,C05177,
InChIKey=BHLYRWXGMIUIHG-OAHLLOKOSA-N,C05178,
InChIKey=GVTRUVGBZQJVTF-YJYMSZOUSA-N,C05179,
InChIKey=GPTFURBXHJWNHR-UHFFFAOYSA-N,C05189,
InChIKey=QRZCXUNTBXMAPR-UHFFFAOYSA-N,C05190,
InChIKey=CIUHLXZTZWTVFL-UHFFFAOYSA-N,C05191,
InChIKey=LEHAJESKGINQOW-UHFFFAOYSA-N,C05193,
InChIKey=JPXUJRDPZQUCNV-UHFFFAOYSA-N,C05194,
InChIKey=JTBCMZVWWNFUFR-TYHXJLICSA-N,C05195,
InChIKey=XGYIMTFOTBMPFP-KQYNXXCUSA-N,C05198,
InChIKey=VEPICJBQCOUQPI-IRVXXIIISA-N,C05200,
InChIKey=YRYCIFUZSUMAAY-UHFFFAOYSA-N,C05201,
InChIKey=DAUPWJBRVZCBQB-AWEZNQCLSA-N,C05202,
InChIKey=RHMGJTZOFARRHB-UHFFFAOYSA-N,C05203,
InChIKey=BRLDZKPJJNASGG-KRWDZBQOSA-N,C05204,
InChIKey=LLSADFZHWMEBHH-TYILLQQXSA-N,C05220,
InChIKey=KSSHIKBOZWMDTR-KXBFYZLASA-N,C05229,
InChIKey=OFWYIUYVHYPQNX-JXFKEZNVSA-N,C05230,
InChIKey=CCSDHAPTHIKZLY-VKBDFPRVSA-N,C05231,
InChIKey=XLSMFKSTNGKWQX-UHFFFAOYSA-N,C05235,
InChIKey=QRZMXADUXZADTF-UHFFFAOYSA-N,C05239,
InChIKey=BOKVLBSSPUTWLV-MRXNPFEDSA-N,C05243,
InChIKey=UYMYPMGPARAZNU-UHFFFAOYSA-N,C05247,
InChIKey=XWORXFNMQCQKKK-UHFFFAOYSA-N,C05252,
InChIKey=KQZRTOGFDRQBSR-UHFFFAOYSA-N,C05253,
InChIKey=DEHLMTDDPWDRDR-BCIKBWLNSA-N,C05258,
InChIKey=NQMPLXPCRJOSHL-BBECNAHFSA-N,C05259,
InChIKey=OXBHKMHNDGRDCZ-STLSENOWSA-N,C05260,
InChIKey=IQNFBGHLIVBNOU-QSGBVPJFSA-N,C05261,
InChIKey=IJFLXRCJWPKGKJ-LXIXEQKWSA-N,C05262,
InChIKey=HQANBZHVWIDNQZ-GMHMEAMDSA-N,C05263,
InChIKey=HIVSMYZAMUNFKZ-PNPVFPMQSA-N,C05264,
InChIKey=AZCVXMAPLHSIKY-HSJNEKGZSA-N,C05265,
InChIKey=ATVGTMKWKDUCMS-OTOYJEMWSA-N,C05266,
InChIKey=WPIVBCGRGVNDDT-CECATXLMSA-N,C05267,
InChIKey=VAAHKRMGOFIORX-IKTBLOROSA-N,C05268,
InChIKey=NFOYYXQAVVYWKV-HDRQGHTBSA-N,C05269,
InChIKey=OEXFMSFODMQEPE-HDRQGHTBSA-N,C05270,
InChIKey=OINXHIBNZUUIMR-IXUYQXAASA-N,C05271,
InChIKey=JUPAQFRKPHPXLD-MSHHSVQMSA-N,C05272,
InChIKey=MBCVYCOKMMMWLX-YYMFEJJQSA-N,C05273,
InChIKey=CNKJPHSEFDPYDB-HSJNEKGZSA-N,C05274,
InChIKey=MGNBGCRQQFMNBM-YJHHLLFWSA-N,C05275,
InChIKey=CPSDNAXXKWVYIY-NTLMCJQISA-N,C05276,
InChIKey=ATVGTMKWKDUCMS-JWBYWSJJSA-N,C05278,
InChIKey=BNPQDIKRZDRREL-GQUYLXGASA-N,C05279,
InChIKey=KEPSPLQXVPROMK-ASJCJLDXSA-N,C05280,
InChIKey=GOMAEJQBTWAPAN-UHFFFAOYSA-N,C05281,
InChIKey=OWQDWQKWSLFFFR-WDSKDSINSA-N,C05282,
InChIKey=JBFYFLXEJFQWMU-WDSKDSINSA-N,C05283,
InChIKey=WSCUHXPGYUMQEX-KCZNZURUSA-N,C05284,
InChIKey=RZRPTBIGEANTGU-IRIMSJTPSA-N,C05285,
InChIKey=XGUHPTGEXRHMQQ-BGJMDTOESA-N,C05290,
InChIKey=RNCGWYKXAJCOLD-LYPURALISA-N,C05291,
InChIKey=NVKAWKQGWWIWPM-MISPCMORSA-N,C05293,
InChIKey=YLTCTXBDDHSLCS-KOUJMVCDSA-N,C05294,
InChIKey=TXNCGXATKOMEQC-KOUJMVCDSA-N,C05295,
InChIKey=LFWLQMQUJQUZBD-TYHLISGHSA-N,C05296,
InChIKey=XRCFMDPVHKVRDJ-BGJMDTOESA-N,C05297,
InChIKey=SWINWPBPEKHUOD-JPVZDGGYSA-N,C05298,
InChIKey=WHEUWNKSCXYKBU-QPWUGHHJSA-N,C05299,
InChIKey=WPOCIZJTELRQMF-QFXBJFAPSA-N,C05300,
InChIKey=DILDHNKDVHLEQB-XSSYPUMDSA-N,C05301,
InChIKey=CQOQDQWUFQDJMK-SSTWWWIQSA-N,C05302,
InChIKey=ATNHDLDRLWWWCB-AENOIHSZSA-M,C05306,
InChIKey=NSMUHPMZFPKNMZ-IOBBVUIDSA-M,C05307,
InChIKey=UOJPTUWXHXNLDB-UHFFFAOYSA-N,C05308,
InChIKey=YSZSVGFMAJXGMQ-FRICUITQSA-N,C05313,
InChIKey=VKRKVLLLTIHDEF-UHFFFAOYSA-N,C05314,
InChIKey=QUCQEUCGKKTEBI-UHFFFAOYSA-N,C05315,
InChIKey=RTVFIUBAXAZKSU-UHFFFAOYSA-N,C05316,
InChIKey=WQTCGADWPORGNB-UHFFFAOYSA-N,C05317,
InChIKey=YXEKXCPIKGSIDD-OALUTQOASA-N,C05318,
InChIKey=DNOMLUPMYHAJIY-KUDFPVQQSA-N,C05322,
InChIKey=KRGPXXHMOXVMMM-CIUDSAMLSA-N,C05324,
InChIKey=MCWDCZIDTUQRHK-FDDDBJFASA-N,C05325,
InChIKey=BOWUOGIPSRVRSJ-RXMQYKEDSA-N,C05328,
InChIKey=FFFHZYDWPBMWHY-UHFFFAOYSA-N,C05330,
InChIKey=BHHGXPLMPWCGHP-UHFFFAOYSA-N,C05332,
InChIKey=HMUJXQRRKBLVOO-AWEZNQCLSA-N,C05334,
InChIKey=RJFAYQIBOAGBLC-BYPYZUCNSA-N,C05335,
InChIKey=IIWDDMINEZBCTG-RUAADODMSA-N,C05337,
InChIKey=GPCAQTOAAYEBGJ-CECATXLMSA-N,C05338,
InChIKey=ACVYVLVWPXVTIT-UHFFFAOYSA-N,C05339,D02334
InChIKey=DLRGFJGVZXSSTP-LURJTMIESA-N,C05340,
InChIKey=PLDCWKCPEXNWJH-ZETCQYMHSA-N,C05341,
InChIKey=BNZYRKVSCLSXSJ-IOSLPCCCSA-N,C05342,
InChIKey=YHXHKYRQLYQUIH-SSDOTTSWSA-N,C05343,
InChIKey=PNHLMHWWFOPQLK-CCAKUQLUSA-N,C05344,
InChIKey=BGWGXPAPYGQALX-ARQDHWQXSA-N,C05345,
InChIKey=MDWNFWDBQGOKNZ-XYUDZHFQSA-N,C05346,
InChIKey=MYSWGUAQZAJSOK-UHFFFAOYSA-N,C05349,D00186
InChIKey=GQYBCIHRWMPOOF-YVMONPNESA-N,C05350,
InChIKey=JOCBASBOOFNAJA-UHFFFAOYSA-N,C05353,
InChIKey=LWMXAOBKDKCIOW-UHFFFAOYSA-N,C05354,
InChIKey=JNUUNUQHXIOFDA-JGKLHWIESA-N,C05356,
InChIKey=RAABOESOVLLHRU-UHFFFAOYSA-N,C05360,
InChIKey=OAKJQQAXSVQMHS-UHFFFAOYSA-N,C05361,
InChIKey=POTZSFVTPSBXLW-IWQZZHSRSA-N,C05364,
InChIKey=HGXBRUKMWQGOIE-AFHBHXEDSA-N,C05366,
InChIKey=FKAWLXNLHHIHLA-LAKOURGTSA-N,C05370,
InChIKey=ZYZCGGRZINLQBL-GWRQVWKTSA-N,C05371,
InChIKey=RFCWHQNNCOJYTR-IRCAEPKSSA-N,C05372,
InChIKey=MLOJGZHQNWCBAC-UHFFFAOYSA-N,C05375,
InChIKey=LFEUICHQZGNOHD-RECXWPGBSA-N,C05376,
InChIKey=MJVAVZPDRWSRRC-UHFFFAOYSA-N,C05377,D02335
InChIKey=RNBGYGVWRKECFJ-ARQDHWQXSA-N,C05378,
InChIKey=UFSCUAXLTRFIDC-UHFFFAOYSA-N,C05379,
InChIKey=ZBSGKPYXQINNGF-UHFFFAOYSA-N,C05380,
InChIKey=ZWUKRGPVMMTMAF-UHFFFAOYSA-O,C05381,
InChIKey=JDTUMPKOJBQPKX-GBNDHIKLSA-N,C05382,
InChIKey=AIQDYKMWENWVQJ-QIUUJYRFSA-N,C05385,
InChIKey=LQEBEXMHBLQMDB-CUMUYSSISA-N,C05386,
InChIKey=LLVVMXFNKAHVEZ-SJJWUPISSA-N,C05392,
InChIKey=APIQNBNBIICCON-FKMSRSAHSA-N,C05394,
InChIKey=ITPHOIFCAFNCLL-QKKXKWKRSA-N,C05396,
InChIKey=SERLAGPUMNYUCK-GFRRCQKTSA-N,C05399,
InChIKey=DLRVVLDZNNYCBX-NNDSTVLFSA-N,C05400,
InChIKey=NHJUPBDCSOGIKX-NTXXKDEISA-N,C05401,
InChIKey=DLRVVLDZNNYCBX-ABXHMFFYSA-N,C05402,
InChIKey=HKKHTABTHSUDBP-ILXILVFVSA-N,C05403,
InChIKey=FBJQEBRMDXPWNX-SMGIPPFUSA-N,C05404,
InChIKey=XXBSUZSONOQQGK-YVZJFKFKSA-N,C05405,
InChIKey=PHPQIPPBBQUFII-UHFFFAOYSA-N,C05406,
InChIKey=SXZYCXMUPBBULW-LECHCGJUSA-N,C05410,
InChIKey=QXKAIJAYHKCRRA-NUNKFHFFSA-N,C05411,
InChIKey=QXKAIJAYHKCRRA-PZGQECOJSA-N,C05412,
InChIKey=YVLPJIGOMTXXLP-KEKOKYSKSA-N,C05413,
InChIKey=OVSVTCFNLSGAMM-OUOOUFEBSA-N,C05414,
InChIKey=DTGDZMYNKLTSKC-HKQCOZBKSA-N,C05416,
InChIKey=OJFSRAVBTAGBIM-NBGJRJMZSA-N,C05417,
InChIKey=PRYIJAGAEJZDBO-DTLXENBRSA-N,C05418,
InChIKey=YVLPJIGOMTXXLP-BHLJUDRVSA-N,C05421,
InChIKey=SBJKKFFYIZUCET-JLAZNSOCSA-N,C05422,
InChIKey=OJFSRAVBTAGBIM-UXWTYBCRSA-N,C05423,
InChIKey=HKHHYUSFWJROEJ-MYMLUCEJSA-N,C05424,
InChIKey=YMMFNKXZULYSOQ-RUXQDQFYSA-N,C05425,
InChIKey=ITPLBNCCPZSWEU-PYDDKJGSSA-N,C05427,
InChIKey=BIWLELKAFXRPDE-WTXAYMOSSA-N,C05430,
InChIKey=ATCICVFRSJQYDV-XILUKMICSA-N,C05431,
InChIKey=OAIJSZIZWZSQBC-GYZMGTAESA-N,C05432,
InChIKey=ANVAOWXLWRTKGA-JLTXGRSLSA-N,C05433,
InChIKey=MICBIPJWKDDGNL-FILYMEKXSA-N,C05434,
InChIKey=HRQKOYFGHJYEFS-BXOLYSJBSA-N,C05435,
InChIKey=CGSJXLIKVBJVRY-XTGBIJOFSA-N,C05437,
InChIKey=PKEPPDGGTSZLBL-FZAJRYLSSA-N,C05439,
InChIKey=SQFQJKZSFOZDJY-UDHQOCSDSA-N,C05440,
InChIKey=MECHNRXZTMCUDQ-RKHKHRCZSA-N,C05441,D00187
InChIKey=HCXVJBMSMIARIN-PHZDYDNGSA-N,C05442,
InChIKey=QYSXJUFSXHHAJI-YRZJJWOYSA-N,C05443,D00188
InChIKey=OQIJRBFRXGIHMI-UGMUFZQESA-N,C05444,
InChIKey=YWGOKHMOJTZGBN-UGMUFZQESA-N,C05445,
InChIKey=XJZGNVBLVFOSKJ-XZULNKEGSA-N,C05446,
InChIKey=SEBZZAWTQNNGPK-RDYMGNODSA-N,C05447,
InChIKey=SZBMUAIJWNJARR-LUAYSRQUSA-N,C05448,
InChIKey=QWTJBRPOHKIMDT-MVFHLHSISA-N,C05449,
InChIKey=PXHZOQNODUPJKC-YZBUYOTGSA-N,C05450,
InChIKey=HWOOALPDOJHOPO-YREUSXKVSA-N,C05451,
InChIKey=APYVEUGLZHAHDJ-TVRYRFOISA-N,C05452,
InChIKey=HHVQPBXBALLUDF-QORHGLQKSA-N,C05453,
InChIKey=RIVQQZVHIVNQFH-XJZYBRFWSA-N,C05454,
InChIKey=IOIZWEJGGCZDOL-RQDYSCIWSA-N,C05455,
InChIKey=HHVQPBXBALLUDF-FJRVRIDVSA-N,C05458,
InChIKey=QVDPWQVOSKJUES-JMOYVIBVSA-N,C05460,
InChIKey=AWDRATDZQPNJFN-GHMNEPPTSA-N,C05463,
InChIKey=WVULKSPCQVQLCU-BUXLTGKBSA-N,C05464,
InChIKey=BHTRKEVKTKCXOH-BJLOMENOSA-N,C05465,
InChIKey=GHCZAUBVMUEKKP-GYPHWSFCSA-N,C05466,
InChIKey=AWLXQJGPNLCTLM-YFXOTMPNSA-N,C05467,
InChIKey=KAOLEMQCYWHOJQ-YCCSZJEMSA-N,C05468,
InChIKey=YCLWEYIBFOLMEM-FNLRALKVSA-N,C05469,
InChIKey=SYGWGHVTLUBCEM-ZIZPXRJBSA-N,C05470,
InChIKey=ACSFOIGNUQUIGE-AIPUTVCKSA-N,C05471,
InChIKey=AODPIQQILQLWGS-GXBDJPPSSA-N,C05472,
InChIKey=IIBOWSHDTFRYKU-UHFFFAOYSA-N,C05473,
InChIKey=YWTDWORQGPLRLL-RXKIGOLRSA-N,C05474,
InChIKey=CTTOFMJLOGMZRN-UHFFFAOYSA-N,C05475,
InChIKey=RHQQHZQUAMFINJ-DTDWNVJFSA-N,C05476,
InChIKey=ZDUVZJUTJOBJHS-CRQIWHQQSA-N,C05477,
