inchikey,kegg_id,kegg_drug_id
InChIKey=MVMSCBBUIHUTGJ-GDJBGNAASA-N,C00096,
InChIKey=XUJNEKJLAYXESH-REOHCLBHSA-N,C00097,D00026
InChIKey=UCMIRNVEIXFBKS-UHFFFAOYSA-N,C00099,D07561
InChIKey=QAQREVBBADEHPA-IEXPHMLFSA-N,C02843,
InChIKey=MSTNYGQPCMXVAQ-KIYNQFGBSA-N,C00101,
InChIKey=CCBICDLNWJRFPO-UHFFFAOYSA-N,C00102,
InChIKey=HXXFSFRBOHSIMQ-VFUOTHLCSA-N,C00103,
InChIKey=JPXZQMKKFWMMGK-KQYNXXCUSA-N,C00104,
InChIKey=DJJCXFVJDGTHFX-XVFCMESISA-N,C00105,
InChIKey=ISAKRJDGNUQOIC-UHFFFAOYSA-N,C00106,D00027
InChIKey=RWZYAGGXGHYGMB-UHFFFAOYSA-N,C00108,
InChIKey=TYEYBOSBBBHJIV-UHFFFAOYSA-N,C00109,
InChIKey=GYBNOAFGEKAZTA-QOLULZROSA-N,C00110,
InChIKey=GNGACRATGGDKBX-UHFFFAOYSA-N,C00111,
InChIKey=ZWIADYZPOWUWEW-XVFCMESISA-N,C00112,
InChIKey=MMXZSJMASHPLLR-UHFFFAOYSA-N,C00113,
InChIKey=OEYIOHPDSNJKLS-UHFFFAOYSA-N,C00114,D07690
InChIKey=PEDCQBHIVMGVHV-UHFFFAOYSA-N,C00116,D00028
InChIKey=KTVPXOYAKDPRHY-SOOFDHNKSA-N,C00117,
InChIKey=LXJXRIRHZLFYRP-VKHMYHEASA-N,C00118,
InChIKey=PQGCEDQWHSBAJP-TXICZTDVSA-N,C00119,
InChIKey=YBJHBAHKTGYVGT-ZKWXMUAHSA-N,C00120,D00029
InChIKey=HMFHBZSHGGEWLO-SOOFDHNKSA-N,C00121,
InChIKey=VZCYOOQTPOCHFL-OWOJBTEDSA-N,C00122,D02308
InChIKey=ROHFNLRQFUQHCH-YFKPBYRVSA-N,C00123,D00030
InChIKey=WQZGKKKJIJFFOK-SVZMEOIVSA-N,C00124,
InChIKey=YPZRWBKMTBYPTK-BJDJZHNGSA-N,C00127,D00031
InChIKey=TXCIAUNLDRJGJZ-BILDWYJOSA-N,C00128,
InChIKey=NUHSROFQTUXZQQ-UHFFFAOYSA-N,C00129,
InChIKey=GRSZFWQUAKGDAV-KQYNXXCUSA-N,C00130,
InChIKey=SUYVUBYJARFZHO-RRKCRQDMSA-N,C00131,
InChIKey=OKKJLVBELUTLKV-UHFFFAOYSA-N,C00132,D02309
InChIKey=QNAYBMKLOCPYGJ-UWTATZPHSA-N,C00133,
InChIKey=KIDHWZJUCRJVML-UHFFFAOYSA-N,C02896,
InChIKey=HNDVDQJCIGZPNO-YFKPBYRVSA-N,C00135,D00032
InChIKey=CRFNGMNYKDXRTN-CITAKDKDSA-N,C00136,
InChIKey=CDAISMWEOUEBRE-GPIVLXJGSA-N,C00137,D08079
InChIKey=OVRNDRQMDRJTHS-RTRLPJTCSA-N,C00140,
InChIKey=QHKABHOOEWYVLI-UHFFFAOYSA-N,C00141,
InChIKey=QYNUQALWYRSVHF-PZORYLMUSA-N,C00143,
InChIKey=RQFCJASXJCIDSX-UUOKFMHZSA-N,C00144,
InChIKey=ISWSIDIOOBJBQZ-UHFFFAOYSA-N,C15584,D00033
InChIKey=GFFGJBXGBJISGV-UHFFFAOYSA-N,C00147,D00034
InChIKey=ONIBWKKTOPOVIA-BYPYZUCNSA-N,C00148,D00035
InChIKey=BJEPYKJPYRNKOW-REOHCLBHSA-N,C00149,
InChIKey=ZOKXTWBITQBERF-UHFFFAOYSA-N,C00150,
InChIKey=DCXYFEDJOCDNAF-REOHCLBHSA-N,C00152,
InChIKey=DFPAKSUCGFBDDF-UHFFFAOYSA-N,C00153,D00036
InChIKey=MNBKLUUYKPBKDU-BBECNAHFSA-N,C00154,
InChIKey=FFFHZYDWPBMWHY-VKHMYHEASA-N,C00155,
InChIKey=FJKROLUGYXJWQN-UHFFFAOYSA-N,C00156,
InChIKey=KRKNYBCHXYNGOX-UHFFFAOYSA-N,C00158,D00037
InChIKey=WQZGKKKJIJFFOK-QTVWNMPRSA-N,C00159,
InChIKey=AEMRFAOFKBGASW-UHFFFAOYSA-N,C03547,
InChIKey=XBDQKXXYIPTUBI-UHFFFAOYSA-N,C00163,D02310
InChIKey=WDJHALXBUFZDSR-UHFFFAOYSA-N,C00164,
InChIKey=BTNMPGBKDVTSJY-UHFFFAOYSA-N,C00166,
InChIKey=HDYANYHVCAPMJV-LXQIFKJMSA-N,C00167,
InChIKey=HHDDCCUIIUWNGJ-UHFFFAOYSA-N,C00168,
InChIKey=FFQKYPRQEYGKAF-UHFFFAOYSA-N,C00169,
InChIKey=WUUGFSXJNOTRMR-IOSLPCCCSA-N,C00170,
InChIKey=XLJKHNWPARRRJB-UHFFFAOYSA-N,C00175,
InChIKey=XFXPMWWXUTWYJX-UHFFFAOYSA-N,C00177,
InChIKey=RWQNBRDOKXIBIV-UHFFFAOYSA-N,C00178,
InChIKey=QYPPJABKJHAVHS-UHFFFAOYSA-N,C00179,
InChIKey=WPYMKLBDIGXBTP-UHFFFAOYSA-N,C00539,D00038
InChIKey=SRBFZHDQGSBBOR-IOVATXLUSA-N,C00181,D06346
InChIKey=BYSGBSNPRWKUQH-UJDJLXLFSA-N,C00182,
InChIKey=KZSNJWFQEVHDMF-BYPYZUCNSA-N,C00183,D00039
InChIKey=RXKJFZQQPQGTFL-UHFFFAOYSA-N,C00184,D07841
InChIKey=GUBGYTABKSRVRQ-CUHNMECISA-N,C00185,
