InChIKey=NEVJGTXBHJNFAZ-DBTRHIFQSA-N,Und-PP-GlcNAc,Undecaprenyl-PP-GlcNAc
InChIKey=IGGGNUSEBUZFTR-LSTDVEQWSA-N,Und-PP-GlcNAc-ManNAcA,Undecarprenyl-PP-GlcNAc-ManNAcA
InChIKey=PSONHUYFSWYIME-UVTZXHDMSA-N,Und-PP-GlcNAc-ManNAcA-Fuc4NAc,Undecaprenyl-PP-GlcNAc-ManNAcA-Fuc4NAc
