het_id,inchikey
02I,InChIKey=CFRPMSDTAMOMAA-VYFZPWGTSA-N
02J,InChIKey=BNMPIJWVMVNSRD-UHFFFAOYSA-N
02K,InChIKey=WOXWUZCRWJWTRT-UHFFFAOYSA-N
02L,InChIKey=KANDDIFOWGGKRK-LURJTMIESA-N
02N,InChIKey=HMTSWYPNXFHGEP-UHFFFAOYSA-N
02O,InChIKey=MOCSHHCILAILMH-YFKPBYRVSA-N
02P,InChIKey=BNDOLKJAONQVEV-MOPGFXCFSA-O
02Q,InChIKey=JIRKNEAMPYVPTD-UHFFFAOYSA-N
02R,InChIKey=KDDNKZCVYQDGKE-UHFFFAOYSA-N
02S,InChIKey=AQSCHALQLXXKKC-UHFFFAOYSA-N
02T,InChIKey=SWZNXCABBUKIPZ-UHFFFAOYSA-N
02U,InChIKey=JSOOUDKFWVPPEF-UHFFFAOYSA-N
02V,InChIKey=PGFNASLHURMLBI-QMMMGPOBSA-N
02W,InChIKey=UREWYRDRWNMMAZ-UHFFFAOYSA-N
02X,InChIKey=RKAFKUROUOLPOL-YFKPBYRVSA-N
02Y,InChIKey=UUTYCZUIECRVAL-YFKPBYRVSA-O
030,InChIKey=QZRYMCLGPOUYKP-MVIOUDGNSA-N
031,InChIKey=RPIALZPTIFOQGC-CXLNPQPMSA-N
032,InChIKey=GPXBXXGIAQBQNI-UHFFFAOYSA-N
033,InChIKey=HJFONKSERLWIGE-DEOSSOPVSA-N
034,InChIKey=RYEIPXVNZXWZFN-UHFFFAOYSA-N
035,InChIKey=OZYHUBGACYJJJF-LURJTMIESA-N
036,InChIKey=OZYHUBGACYJJJF-ZCFIWIBFSA-N
037,InChIKey=KWRNCAUXSJOYQO-ACZMJKKPSA-N
038,InChIKey=FZZOBXKGDCMGAL-NAJARDBOSA-N
039,InChIKey=UMMYTDJYDSTEMB-UHFFFAOYSA-N
03A,InChIKey=FTXZHTIVOPMXBI-ZETCQYMHSA-N
03B,InChIKey=IUXZRSUDCUOHPK-DIPNUNPCSA-N
03C,InChIKey=KOCQZKPUMDARNV-UHFFFAOYSA-N
03D,InChIKey=LRMIUNSMKAGCAH-ZGLCPUQGSA-N
03E,InChIKey=IINRZEIPFQHEAP-UHFFFAOYSA-N
03F,InChIKey=MVGFIPNJBNBHNC-HVFXMTMESA-N
03G,InChIKey=ZKXLQCIOURANAD-UHFFFAOYSA-N
03H,InChIKey=CBQBIPRPIHIKPW-YFKPBYRVSA-N
03I,InChIKey=GGIDQMXKOSYOHO-RUZDIDTESA-N
03J,InChIKey=CZIRGEGHXBDKME-UHFFFAOYSA-N
03L,InChIKey=HLWGMGIORMMWMJ-UHFFFAOYSA-N
03M,InChIKey=OEXMEVPQEPHTAQ-IDUWFGFVSA-N
03N,InChIKey=PBGDGOWGZQNAHJ-UHFFFAOYSA-N
03O,InChIKey=OCWWMSJBVHBZEF-JTQLQIEISA-N
03P,InChIKey=ZYQXEVJIFYIBHZ-UHFFFAOYSA-N
03Q,InChIKey=XPUIECRALWERTL-UHFFFAOYSA-N
03R,InChIKey=BUZNVJZUYOBGFM-KRWDZBQOSA-N
03S,InChIKey=AFVFQIVMOAPDHO-UHFFFAOYSA-N
03T,InChIKey=UZMQSZBTFGHLAH-UHFFFAOYSA-N
03U,InChIKey=IYKUBGQVTQQVJG-ZCXUNETKSA-N
03V,InChIKey=JWAZRIHNYRIHIV-UHFFFAOYSA-N
03W,InChIKey=MQVRLONNONYDJP-UWTATZPHSA-N
03X,InChIKey=SBLMCLDRWJNEJK-UHFFFAOYSA-N
03Y,InChIKey=NZBONMFLYFGTAC-BYPYZUCNSA-N
041,InChIKey=MQIMZDXIAHJKQP-UHFFFAOYSA-N
042,InChIKey=QMPAEYUADYAXIX-XFVKVHEMSA-N
044,InChIKey=OHLUERTUZNIQEE-GOSISDBHSA-N
045,InChIKey=ODEHMIGXGLNAKK-OESPXIITSA-N
046,InChIKey=VQLNKQZLPGLOSI-UHFFFAOYSA-N
047,InChIKey=MMIJMYOYKAKQPN-UHFFFAOYSA-N
049,InChIKey=JMHXNXJFBFTKHQ-BFHYXJOUSA-N
04A,InChIKey=MDJIPXYRSZHCFS-UHFFFAOYSA-N
04B,InChIKey=QCUSFENRXRYWFV-USWWRNFRSA-N
04C,InChIKey=SLVOSRJOLWNALP-QAKIEGLASA-N
04D,InChIKey=GUNDRKRTYHTHOS-HRDYMLBCSA-N
04E,InChIKey=JDNTWHVOXJZDSN-UHFFFAOYSA-N
04F,InChIKey=XADNOHUHGUXHMN-CNGBTNQNSA-N
04G,InChIKey=HSSLDCABUXLXKM-UHFFFAOYSA-N
04K,InChIKey=PAJOHXKWGHBVDS-UHFFFAOYSA-N
04L,InChIKey=ZNIFXENZPBLKBE-FYWRMAATSA-N
04R,InChIKey=NOFFCWXIBYKMBU-UHFFFAOYSA-N
04S,InChIKey=NGXSWUFDCSEIOO-SCSAIBSYSA-N
051,InChIKey=NYXJFBFDAFPUOG-XANCMCCPSA-N
053,InChIKey=CNFSTRPHYZHTGV-UHFFFAOYSA-N
054,InChIKey=DKKCMDSCGHLOLY-UHFFFAOYSA-N
055,InChIKey=KRIVDSIBMDCVLL-DEOSSOPVSA-N
057,InChIKey=XZRYCTLOGNCQDG-UHFFFAOYSA-N
058,InChIKey=IOOYKINARCKSEF-UHFFFAOYSA-N
059,InChIKey=CTQDLSDUHUFBQW-LEWJYISDSA-N
05B,InChIKey=QSDGMDKMSSYMKU-UHFFFAOYSA-N
05L,InChIKey=SHGOSUGSVFEXFV-LBELIVKGSA-N
05S,InChIKey=DGOVAFNEOBXFEF-AWEZNQCLSA-N
061,InChIKey=UNVNHFHIKCWHHG-UHFFFAOYSA-N
062,InChIKey=GVACNUIKZUGUGU-JYFHCDHNSA-N
064,InChIKey=BYTNEISLBIENSA-MDZDMXLPSA-N
065,InChIKey=HNEIRZJZTYYDES-VPZBFSRCSA-N
066,InChIKey=JFHROPTYMMSOLG-UHFFFAOYSA-N
067,InChIKey=FNXBXKCBXINKKL-UHFFFAOYSA-N
068,InChIKey=QSVVRYPBRVSBDL-SFHVURJKSA-N
069,InChIKey=IRGXGFPSYHAJER-UHFFFAOYSA-N
06C,InChIKey=INQOMBQAUSQDDS-UHFFFAOYSA-N
06H,InChIKey=QPCQIBFESZKAHD-HNNXBMFYSA-N
06J,InChIKey=WQTXERXALASGRT-GOSISDBHSA-N
06P,InChIKey=XPNLMZJVXKGMFM-MOPGFXCFSA-O
06T,InChIKey=JSSUIPOIXFFFQU-NJAFHUGGSA-N
